### プロジェクト「はいぱか（仮）」作業ログ

**日時:** 2025年8月15日

**目的:** 「実行モード」の実装と、明確な視覚的フィードバックおよび切り替え機能の追加

---

### 完了したタスク

**1. 「実行モード」の実装**
- グローバルな `isRunMode` ステート変数を導入。
- 左パネルのフッターに「実行/編集」切り替えボタンを追加し、両モードで常に表示されるようにした。
- 「実行モード」時の視覚的変更（サイドパネルの非表示、カーソルの変更、キャンバスの微妙な境界線など）を実装。
- 「実行モード」中は、オブジェクトのドラッグ、リサイズ、選択を無効化。
- ボタンのアクション（カードへのジャンプ、スクリプト実行）を「実行モード」でのみ有効化。
- 「実行モード」中は、キャンバス上での右クリックコンテキストメニューを無効化。

**2. ユーザーフィードバックに基づく改善**
- 「実行/編集」切り替えボタンが常にアクセス可能であることを確認。
- 「実行モード」中の右クリックコンテキストメニューの挙動を修正。

---

### 現在の状態

- アプリケーションは、編集とインタラクションを明確に区別する機能的な「実行モード」を備え、ユーザーが作成したものをテストできるようになった。
